customer,surname,givenName,email,country,stateCode,state,city,streetAddress,latitude,longitude,claimAmount,response,coverage,education,effectiveToDate,employmentStatus,gender,income,locationCode,maritalStatus,monthlyPremiumAuto,monthsSinceLastClaim,monthsSincePolicyInception,numberOfOpenComplaints,numberOfPolicies,policyType,policy,claimReason,salesChannel,totalClaimAmount,vehicleClass,vehicleSize,vehicle
AD18174,Anderson,Libby,LibbyHAnderson@gustr.com,US,IN,Indiana,Mishawaka,2330 Sand Fork Road,41.551157,-86.175706,483.7926404,No,Basic,High School or Below,12/10/16,Unemployed,F,0,Suburban,Single,65,6,89,0,3,Personal Auto,Personal L3,Collision,Web,468,Four-Door Car,Medsize,2006 Toyota Highlander
AD28349,Fisher,Joel,JoelLFisher@teleworm.us,US,MI,Michigan,Farmington Hills,3185 Daylene Drive,42.415605,-83.406449,463.7544647,No,Basic,High School or Below,12/9/16,Unemployed,M,0,Suburban,Divorced,68,18,81,0,3,Personal Auto,Personal L3,Collision,Call Center,352.130674,Four-Door Car,Medsize,1992 Opel Astra
AD28535,Jones,Pauline,PaulineEJones@gustr.com,US,CA,California,Half Moon Bay,2404 Rardin Drive,37.43317,-122.478832,355.4845264,Yes,Extended,Master,12/30/16,Employed,F,58557,Rural,Married,88,4,83,0,1,Personal Auto,Personal L1,Collision,Branch,55.510526,Four-Door Car,Large,2007 Buick Lucerne
AD33653,Martinez,Aubrey,AubreyBMartinez@cuvox.de,US,PA,Pennsylvania,Pittsburgh,3304 Chandler Hollow Road,40.454912,-79.955616,332.4551776,No,Extended,High School or Below,12/21/16,Unemployed,M,0,Suburban,Married,92,13,17,0,1,Personal Auto,Personal L2,Collision,Agent,441.6,Two-Door Car,Medsize,1994 Nissan Crew
AD33971,Ellis,Dale,DaleIEllis@dayrep.com,US,NY,New York,Pleasantville,4425 Deans Lane,41.159647,-73.846563,1256.406775,No,Basic,Doctor,9/5/16,Unemployed,M,0,Suburban,Married,68,15,52,0,2,Personal Auto,Personal L3,Hail,Web,326.4,Four-Door Car,Medsize,1996 Toyota Cresta
AD38685,Kirby,Matthew,MatthewWKirby@dayrep.com,US,MI,Michigan,Wyoming,2483 Kimberly Way,42.991456,-85.785532,865.8863813,Yes,Basic,College,10/19/16,Employed,M,62464,Urban,Married,109,23,45,0,4,Personal Auto,Personal L3,Hail,Agent,400.181882,Sports Car,Medsize,1999 Ferrari F355
AD56037,Warren,Randolph,RandolphJWarren@superrito.com,US,TX,Texas,Kemah,1755 Bird Spring Lane,29.608164,-94.986668,516.0251878,No,Extended,High School or Below,9/30/16,Employed,M,87050,Suburban,Married,129,1,75,0,1,Personal Auto,Personal L1,Other,Agent,619.2,SUV,Medsize,2003 Jaguar XJ
AD63766,Bostwick,Warren,WarrenMBostwick@armyspy.com,US,NY,New York,Garden City,4080 Dancing Dove Lane,40.735634,-73.640892,283.9013244,No,Extended,Bachelor,11/23/16,Unemployed,M,0,Suburban,Married,81,22,26,0,1,Personal Auto,Personal L2,Scratch/Dent,Branch,388.8,Two-Door Car,Large,2012 Hyundai Veloster
AD71478,Ponte,Rudy,RudyNPonte@armyspy.com,US,OH,Ohio,Columbus,2898 Bates Brothers Road,39.897046,-82.973945,343.0316936,No,Extended,High School or Below,10/31/16,Employed,M,54339,Rural,Married,86,10,52,0,1,Personal Auto,Personal L3,Other,Agent,10.478305,Four-Door Car,Large,2010 Chrysler 300
AD89594,Thomas,Micheal,MichealNThomas@fleckens.hu,US,MS,Mississippi,Biloxi,1359 O Conner Street,30.396128,-89.013887,1281.741348,No,Basic,College,9/22/16,Employed,M,28651,Urban,Single,67,4,25,0,2,Personal Auto,Personal L2,Scratch/Dent,Agent,302.272725,Four-Door Car,Medsize,2003 Chevrolet Cavalier
AD95939,Garner,Nolan,NolanMGarner@einrot.com,US,CA,California,Sacramento,3684 Woodland Terrace,38.534841,-121.399841,2651.160445,No,Extended,Bachelor,12/24/16,Employed,M,28773,Suburban,Single,229,14,72,0,2,Personal Auto,Personal L1,Other,Web,1099.2,Luxury Car,Medsize,2009 Suzuki Grand Vitara
AE23906,Robinson,Joseph,JosephERobinson@rhyta.com,US,KY,Kentucky,Owensboro,560 Rowes Lane,37.842451,-87.248341,981.6528302,Yes,Basic,College,12/24/16,Employed,M,37256,Rural,Married,62,15,7,0,2,Personal Auto,Personal L2,Collision,Branch,128.969729,Four-Door Car,Medsize,2003 Volkswagen Golf
AE30506,Fultz,Mary,MaryWFultz@cuvox.de,US,IA,Iowa,Davenport,1118 Summit Street,41.563546,-90.516553,239.6219292,Yes,Basic,Bachelor,12/7/16,Unemployed,F,0,Suburban,Married,66,6,71,2,1,Personal Auto,Personal L3,Hail,Call Center,433.160284,Four-Door Car,Large,2005 Hyundai Elantra
AE60813,Hunter,Pauline,PaulineLHunter@dayrep.com,US,CA,California,Oakland,2053 Wayside Lane,37.796096,-122.278095,499.3025273,No,Basic,College,8/24/16,Employed,F,75090,Rural,Married,63,10,67,1,7,Personal Auto,Personal L3,Other,Branch,101.34165,Four-Door Car,Medsize,2009 Citroen C4
AE62631,Jenkins,Arthur,ArthurSJenkins@jourrapide.com,US,MI,Michigan,Clarkston,3754 Cunningham Court,42.73,-83.493722,842.7723769,No,Basic,Bachelor,8/9/16,Employed,M,20662,Suburban,Married,72,10,99,0,2,Personal Auto,Personal L1,Other,Agent,373.324673,Two-Door Car,Medsize,1996 Toyota Lexcen
AE74442,Krueger,Virginia,VirginiaAKrueger@jourrapide.com,US,IN,Indiana,Linden,906 Overlook Drive,40.122809,-86.869798,737.9456823,No,Basic,Bachelor,11/20/16,Employed,F,61584,Urban,Married,61,18,93,0,2,Corporate Auto,Corporate L2,Collision,Agent,205.294927,Four-Door Car,Medsize,2011 Mitsubishi Eclipse
AE89300,Mitchell,Christina,ChristinaRMitchell@superrito.com,US,MI,Michigan,Dearborn,4940 Prudence Street,42.279035,-83.11625,822.4770259,No,Basic,Bachelor,8/12/16,Employed,F,82634,Urban,Single,104,8,74,0,3,Personal Auto,Personal L3,Scratch/Dent,Agent,324.097433,SUV,Medsize,2006 Pagani Zonda
AE90216,Salinas,Carl,CarlSSalinas@cuvox.de,US,AL,Alabama,Anniston,1416 Maple Lane,33.60332,-85.820109,497.4801539,Yes,Basic,Bachelor,8/4/16,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L2,Hail,Branch,467.803638,Two-Door Car,Medsize,1997 Mazda 121
AE93522,Focht,Charles,CharlesLFocht@fleckens.hu,US,FL,Florida,Miami,2222 Warner Street,25.677524,-80.242462,721.2143863,No,Basic,Bachelor,12/8/16,Employed,M,75891,Rural,Single,61,1,5,0,2,Corporate Auto,Corporate L2,Hail,Branch,61.285525,Two-Door Car,Medsize,2014 Audi SQ5
AE98193,Timmons,James,JamesDTimmons@cuvox.de,US,OH,Ohio,Cleveland,2050 Peaceful Lane,41.545156,-81.682559,785.9414569,No,Basic,High School or Below,9/18/16,Unemployed,M,0,Suburban,Single,113,19,10,0,7,Personal Auto,Personal L1,Collision,Branch,813.6,SUV,Medsize,2015 Mazda CX-9
AF10970,Wood,Christine,ChristineAWood@einrot.com,US,OR,Oregon,Eugene,2098 Buena Vista Avenue,44.09694,-123.06482,597.314343,No,Basic,Bachelor,10/7/16,Employed,F,96163,Suburban,Married,73,23,90,0,3,Corporate Auto,Corporate L3,Collision,Call Center,350.4,Four-Door Car,Medsize,1995 Buick XP2000
AF17671,Bennett,Karen,KarenJBennett@fleckens.hu,US,MO,Missouri,Columbia,480 John Daniel Drive,38.976476,-92.212343,776.5228166,No,Extended,Bachelor,11/13/16,Employed,F,56337,Suburban,Married,97,26,25,0,3,Personal Auto,Personal L2,Other,Web,465.6,Four-Door Car,Medsize,1997 Volkswagen Gol
AF20716,Meehan,Kelly,KellyBMeehan@cuvox.de,US,OH,Ohio,Akron,2464 Little Street,41.173467,-81.473917,242.9374554,No,Basic,Bachelor,9/11/16,Employed,M,74241,Rural,Married,61,21,57,0,1,Personal Auto,Personal L3,Hail,Agent,138.588291,Two-Door Car,Medsize,2009 Ascari A10
AF36894,Holderman,Grady,GradyMHolderman@fleckens.hu,US,WA,Washington,Portland,4150 Honeysuckle Lane,45.466733,-122.621895,439.2982538,No,Basic,Bachelor,8/16/16,Employed,M,33640,Suburban,Married,113,20,20,0,1,Corporate Auto,Corporate L3,Other,Agent,542.4,SUV,Medsize,1995 Fiat Punto
AF37776,Flinchum,Pamela,PamelaRFlinchum@rhyta.com,US,GA,Georgia,Stone Mountain,463 Pine Garden Lane,33.84695,-84.119554,1041.916743,No,Extended,Bachelor,12/25/16,Employed,F,80192,Rural,Married,129,8,69,0,9,Personal Auto,Personal L1,Scratch/Dent,Call Center,200.662297,SUV,Large,2006 Ford Fusion
AF41118,Scholz,Nicholas,NicholasEScholz@einrot.com,US,CA,California,Corona,4544 Brown Bear Drive,33.858352,-117.510792,725.5714453,No,Extended,College,10/5/16,Medical Leave,M,10710,Suburban,Married,94,12,33,0,7,Personal Auto,Personal L2,Collision,Branch,451.2,Two-Door Car,Small,1999 Chevrolet Prizm
AF47139,Wynn,Lois,LoisRWynn@teleworm.us,US,NY,New York,Cooperstown,4318 Frosty Lane,42.801053,-74.865882,840.6385414,No,Basic,College,12/21/16,Employed,F,42540,Rural,Married,70,15,52,0,2,Personal Auto,Personal L1,Collision,Agent,43.548973,Four-Door Car,Medsize,1999 SsangYong Chairman H
AF48816,Owens,Michele,MicheleEOwens@armyspy.com,US,MD,Maryland,Grantsville,4432 Del Dew Drive,39.694713,-79.110093,579.2666316,No,Basic,Bachelor,8/24/16,Employed,F,87382,Suburban,Married,72,26,65,0,5,Personal Auto,Personal L3,Hail,Web,345.6,Four-Door Car,Large,2008 Chevrolet Impala
AF49027,Bush,Rose,RoseRBush@jourrapide.com,US,NY,New York,White Plains,3780 Deans Lane,40.932025,-73.711736,1282.742831,No,Premium,College,9/1/16,Unemployed,F,0,Suburban,Single,117,25,43,0,2,Personal Auto,Personal L3,Collision,Agent,842.4,Two-Door Car,Medsize,2012 Hyundai Grandeur
AF49625,Dodson,Nancy,NancyWDodson@jourrapide.com,US,CA,California,Portland,3884 Thompson Drive,44.676252,-76.183351,718.9106255,No,Extended,Bachelor,9/24/16,Employed,F,75838,Urban,Single,90,6,64,0,6,Corporate Auto,Corporate L2,Hail,Agent,428.907968,Two-Door Car,Small,1997 Daihatsu Charade
AF69537,Williams,Donald,DonaldEWilliams@gustr.com,US,OH,Ohio,Bascom,2176 Upland Avenue,41.147901,-83.211048,732.9777554,No,Premium,College,9/27/16,Employed,M,59630,Suburban,Married,185,9,67,0,1,Personal Auto,Personal L3,Collision,Agent,888,SUV,Medsize,2002 Oldsmobile Bravada
AF81450,Ramirez,Oscar,OscarBRamirez@cuvox.de,US,KS,Kansas,Moundridge,355 Roosevelt Road,38.20624,-97.483436,1143.173089,No,Basic,High School or Below,11/21/16,Disabled,M,28657,Suburban,Married,100,4,55,0,2,Personal Auto,Personal L3,Collision,Branch,588.742251,SUV,Small,2004 SsangYong Musso
AG22225,Osborne,Salvador,SalvadorMOsborne@einrot.com,US,OR,Oregon,Monument,634 Center Street,44.908011,-119.48471,694.1900812,No,Extended,High School or Below,12/11/16,Unemployed,M,0,Suburban,Married,96,21,18,0,3,Personal Auto,Personal L3,Hail,Call Center,460.8,Four-Door Car,Small,1992 Alfa Romeo 155
AG32304,Martin,Sally,SallyWMartin@einrot.com,US,NJ,New Jersey,Camden,2230 Lake Road,39.820381,-75.037414,541.8726537,No,Basic,College,8/20/16,Employed,F,39133,Rural,Married,67,25,26,0,3,Personal Auto,Personal L3,Collision,Call Center,90.524457,Four-Door Car,Medsize,2001 Honda Fit
AG39150,Morrison,Larry,LarryDMorrison@rhyta.com,US,MN,Minnesota,Golden Valley,1667 Raintree Boulevard,44.95984,-93.334839,235.6074955,No,Basic,Bachelor,9/9/16,Unemployed,M,0,Suburban,Married,63,22,94,0,1,Personal Auto,Personal L3,Collision,Agent,302.4,Four-Door Car,Medsize,1996 Suzuki Baleno
AG45299,Williams,Robert,RobertJWilliams@teleworm.us,US,OH,Ohio,Westerville,4551 Viking Drive,40.020659,-82.932283,859.5726399,No,Basic,College,10/22/16,Employed,M,76763,Rural,Divorced,108,12,87,0,8,Personal Auto,Personal L3,Hail,Web,186.459607,SUV,Small,1999 Hyundai Marcia
AG47947,King,Joyce,JoyceAKing@armyspy.com,US,DC,Washington DC,Washington,2969 Massachusetts Avenue,38.878234,-77.091441,1402.435839,Yes,Premium,High School or Below,10/4/16,Employed,F,81872,Rural,Married,115,10,55,0,2,Personal Auto,Personal L3,Hail,Web,256.43803,Four-Door Car,Medsize,2009 Ford Edge
AG56998,Bailey,William,WilliamDBailey@fleckens.hu,US,KS,Kansas,Parker,1887 Lake Forest Drive,38.285552,-94.963671,244.8646138,No,Basic,College,11/6/16,Unemployed,M,0,Suburban,Married,69,7,68,0,1,Corporate Auto,Corporate L3,Hail,Branch,331.2,Two-Door Car,Medsize,2006 Infiniti G35
AG58599,Crawford,Rebecca,RebeccaDCrawford@cuvox.de,US,IN,Indiana,Seymour,4439 Heliport Loop,38.993672,-85.937566,280.5098562,No,Basic,High School or Below,12/23/16,Employed,F,26004,Suburban,Married,70,12,3,0,1,Personal Auto,Personal L3,Scratch/Dent,Web,336,Four-Door Car,Medsize,1996 Kia Clarus
AG62087,English,David,DavidBEnglish@rhyta.com,US,IA,Iowa,Sidney,2212 Ashwood Drive,40.822148,-95.704854,341.2566597,No,Extended,Bachelor,12/13/16,Employed,M,30335,Urban,Married,87,17,42,0,1,Corporate Auto,Corporate L3,Scratch/Dent,Agent,326.132867,Four-Door Car,Medsize,2001 Lada Roadster
AG62140,Parker,Senaida,SenaidaJParker@armyspy.com,US,OH,Ohio,Portsmouth,2 Irving Road,38.88189,-82.938465,538.6325174,No,Basic,College,11/19/16,Employed,F,33716,Suburban,Married,68,18,67,1,3,Personal Auto,Personal L2,Collision,Agent,349.431986,Four-Door Car,Small,2012 Nissan Tiida
AG85127,Travis,Dennis,DennisJTravis@teleworm.us,US,PA,Pennsylvania,Millerstown,4851 Lincoln Drive,40.48579,-77.190321,808.5448545,No,Basic,Bachelor,10/12/16,Employed,M,61409,Urban,Married,68,30,80,0,2,Special Auto,Special L3,Scratch/Dent,Web,264.040157,Four-Door Car,Medsize,2011 Holden UTE
AG85615,Wolfenbarger,Jon,JonIWolfenbarger@fleckens.hu,US,MA,Massachusetts,Needham,3426 Smith Street,42.327124,-71.202013,2414.387556,No,Extended,College,9/3/16,Unemployed,M,0,Suburban,Single,87,9,75,0,2,Special Auto,Special L1,Collision,Web,626.4,Four-Door Car,Medsize,2003 Mercedes-Benz A
AH17051,Board,Martin,MartinMBoard@cuvox.de,US,TX,Texas,El Paso,2838 Ward Road,31.754702,-106.374784,1470.049784,No,Extended,Bachelor,12/2/16,Employed,M,29695,Suburban,Married,94,34,66,0,2,Personal Auto,Personal L3,Hail,Branch,554.143798,Four-Door Car,Medsize,2015 Rolls-Royce Wraith
AH22694,Elliott,William,WilliamDElliott@teleworm.us,US,NJ,New Jersey,Newark,3555 Williams Mine Road,40.687122,-74.107869,585.0451386,No,Basic,Doctor,10/19/16,Employed,M,24317,Suburban,Married,73,2,35,1,3,Corporate Auto,Corporate L1,Collision,Call Center,350.4,Four-Door Car,Medsize,1996 Tatra T700
AH39293,Douglas,Kenneth,KennethBDouglas@fleckens.hu,US,KS,Kansas,Kansas City,2548 Lake Forest Drive,39.012255,-94.683055,261.6613903,Yes,Basic,College,11/2/16,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Personal L1,Collision,Agent,316.8,Two-Door Car,Medsize,1997 Renault Twingo
